     x      x      0
     1     -1      0
     3     -2      0
     5     -3      0
     7     -4      0
     9     -5      0
    11     -6      0
    13     -7      0
    15     -8      0
    17     -9      0
    19    -10      0
    21    -11      9
    23    -12     10
    25    -13     11
    27    -14     12
    29    -15     13
    31    -16     14
    33    -17     15
    35    -18     16
    37    -19     17
    39    -20     18
    41    -21     19
    43    -22     20
    45    -23     21
    47    -24     22
    49    -25     23
    51    -26     24
    53    -27     25
    55    -28     26
    57    -29     27
    59    -30     28
    61    -31     29
    63    -32     30
    65    -33     31
    67    -34     32
    69    -35     33
    71    -36     34
    73    -37     35
    75    -38     36
    77    -39     37
    79    -40     38
    81    -41     39
    83    -42     40
    85    -43     41
    87    -44     42
    89    -45     43
    91    -46     44
    93    -47     45
    95    -48     46
    97    -49     47
    99    -50     48
   101    -51     49
   103    -52     50
   105    -53     51
   107    -54     52
   109    -55     53
   111    -56     54
   113    -57     55
   115    -58     56
   117    -59     57
   119    -60     58
   121    -61     59
   123    -62     60
   125    -63     61
   127    -64     62
   129    -65     63
   131    -66     64
   133    -67     65
   135    -68     66
   137    -69     67
   139    -70     68
   141    -71     69
   143    -72     70
   145    -73     71
   147    -74     72
   149    -75     73
   151    -76     74
   153    -77     75
   155    -78     76
   157    -79     77
   159    -80     78
   161    -81     79
   163    -82     80
   165    -83     81
   167    -84     82
   169    -85     83
   171    -86     84
   173    -87     85
   175    -88     86
   177    -89     87
   179    -90     88
   181    -91     89
   183    -92     90
   185    -93     91
   187    -94     92
   189    -95     93
   191    -96     94
   193    -97     95
   195    -98     96
   197    -99     97
