     x      x      0
     1     -1      0
     3     -2      0
     5     -3      0
     7     -4      0
     9     -5      0
    11     -6      0
    13     -7      0
    15     -8      0
    17     -9      0
    19    -10      0
    21    -11     10
    23    -12     11
    25    -13     28
    27    -14     13
    29    -15     30
    31    -16     31
    33    -17   -256
    35    -18     17
    37    -19      2
    39    -20     19
    41    -21      4
    43    -22     21
    45    -23     22
    47    -24     23
    49    -25     24
    51    -26     25
    53    -27     26
    55    -28     27
    57    -29     44
    59    -30     29
    61    -31     46
    63    -32     47
    65    -33   -240
    67    -34     33
    69    -35     18
    71    -36     35
    73    -37     20
    75    -38     37
    77    -39     38
    79    -40     39
    81    -41     40
    83    -42     41
    85    -43     42
    87    -44     43
    89    -45     60
    91    -46     45
    93    -47     62
    95    -48     63
    97    -49     32
    99    -50     49
   101    -51     34
   103    -52     51
   105    -53     36
   107    -54     53
   109    -55     54
   111    -56     55
   113    -57     56
   115    -58     57
   117    -59     58
   119    -60     59
   121    -61     76
   123    -62     61
   125    -63     78
   127    -64     79
   129    -65   -208
   131    -66     65
   133    -67     50
   135    -68     67
   137    -69     52
   139    -70     69
   141    -71     70
   143    -72     71
   145    -73     72
   147    -74     73
   149    -75     74
   151    -76     75
   153    -77     92
   155    -78     77
   157    -79     94
   159    -80     95
   161    -81     64
   163    -82     81
   165    -83     66
   167    -84     83
   169    -85     68
   171    -86     85
   173    -87     86
   175    -88     87
   177    -89     88
   179    -90     89
   181    -91     90
   183    -92     91
   185    -93    108
   187    -94     93
   189    -95    110
   191    -96    111
   193    -97     80
   195    -98     97
   197    -99     82
